name,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10
Anna Brown,mayonnaise,garlic,lettuce,jelly,coffee,crackers,walnuts,,,
James Smith,milk,apple,honey,peanut butter,vinegar,,,,,
Laura Clark,tomato,carrot,vinegar,bread,milk,,,,,
John Jones,carrot,broccoli,vinegar,strawberry,jelly,mushroom,blueberry,salt,chips,chocolate
Anna Clark,soy sauce,butter,walnuts,spinach,tea leaf,chips,strawberry,bread,,
Sophia Johnson,spinach,ketchup,walnuts,broccoli,yogurt,pasta,,,,
Sophia Clark,walnuts,butter,ketchup,chips,coffee,salt,mushroom,peanut butter,,
Chris Johnson,honey,avocado,crackers,beans,butter,yogurt,walnuts,tomato,,
Jane Clark,onion,ginger,milk,salt,strawberry,,,,,
Jane Smith,mustard,vinegar,pasta,spinach,walnuts,strawberry,banana,onion,sugar,
James Garcia,blueberry,avocado,walnuts,spinach,crackers,jelly,cereal,rice,oats,
Jane Johnson,almonds,garlic,salt,broccoli,banana,butter,mayonnaise,,,
Michael Martinez,blueberry,banana,almonds,oats,tea leaf,pepper,,,,
John Williams,sugar,cereal,salt,pasta,cheese,potato,,,,
Jane Miller,orange,banana,onion,mustard,ketchup,,,,,
Laura Miller,honey,almonds,milk,mayonnaise,jelly,peanut butter,broccoli,spinach,corn,
Jane Clark,flour,oats,mushroom,chocolate,bread,mayonnaise,,,,
David Clark,vinegar,ginger,rice,apple,mayonnaise,lettuce,chocolate,,,
Laura Johnson,rice,chips,potato,chocolate,blueberry,beans,lettuce,apple,,
John Smith,cheese,salt,beans,mustard,walnuts,yogurt,,,,
John Miller,beans,tomato,spinach,corn,peanut butter,coffee,mayonnaise,avocado,,
Laura Smith,coffee,carrot,beans,butter,chips,chocolate,potato,,,
Sophia Smith,flour,sugar,tea leaf,spinach,chips,mayonnaise,,,,
Emily Jones,blueberry,cheese,tea leaf,flour,mustard,pepper,spinach,,,
Michael Johnson,sugar,crackers,pepper,walnuts,oats,orange,mushroom,carrot,honey,
Jane Johnson,spinach,banana,chocolate,almonds,honey,coffee,vinegar,onion,,
James Garcia,cheese,garlic,apple,salt,tea leaf,butter,spinach,,,
Anna Johnson,salt,mushroom,tea leaf,sugar,flour,oil,walnuts,garlic,carrot,
James Garcia,avocado,strawberry,tomato,garlic,tea leaf,,,,,
Jane Johnson,milk,apple,oats,carrot,mustard,vinegar,,,,
David Davis,honey,orange,oats,pasta,vinegar,coffee,,,,
Michael Miller,almonds,peanut butter,tea leaf,lettuce,blueberry,bread,onion,,,
Michael Brown,blueberry,crackers,beans,lettuce,salt,jelly,vinegar,bread,,
James Davis,orange,onion,butter,pepper,garlic,coffee,banana,pasta,beans,
James Johnson,orange,butter,blueberry,spinach,mustard,avocado,jelly,,,
Anna Miller,broccoli,milk,lettuce,crackers,banana,carrot,beans,,,
David Johnson,spinach,orange,flour,garlic,mayonnaise,potato,soy sauce,walnuts,,
Emily Clark,ginger,broccoli,salt,oil,chips,blueberry,orange,soy sauce,,
Laura Davis,almonds,broccoli,crackers,rice,ketchup,flour,potato,,,
Chris Garcia,ketchup,oil,ginger,oats,jelly,,,,,
David Johnson,carrot,rice,oats,broccoli,chips,ketchup,butter,,,
James Clark,cereal,chocolate,lettuce,tomato,banana,potato,coffee,milk,almonds,
Sophia Johnson,mayonnaise,walnuts,vinegar,beans,soy sauce,milk,carrot,potato,oil,onion
Emily Williams,chocolate,flour,garlic,banana,potato,,,,,
Chris Martinez,mushroom,ketchup,onion,carrot,ginger,,,,,
Chris Clark,onion,ketchup,oil,ginger,apple,jelly,,,,
David Clark,yogurt,ketchup,apple,orange,walnuts,mushroom,potato,beans,,
Chris Williams,pasta,carrot,rice,ketchup,spinach,corn,,,,
Emily Johnson,onion,crackers,carrot,lettuce,tea leaf,beans,,,,
Michael Williams,sugar,salt,soy sauce,butter,orange,,,,,
